date,pm25
2019/1/1,52
2019/1/2,65
2019/1/3,42
2019/1/4,41
2019/1/5,60
2019/1/6,66
2019/1/7,35
2019/1/8,30
2019/1/9,36
2019/1/10,55
2019/1/11,51
2019/1/12,70
2019/1/13,32
2019/1/14,30
2019/1/15,28
2019/1/16,25
2019/1/17,21
2019/1/18,23
2019/1/19,51
2019/1/20,44
2019/1/21,32
2019/1/22,17
2019/1/23,28
2019/1/24,38
2019/1/25,41
2019/1/26,35
2019/1/27,36
2019/1/28,40
2019/1/29,76
2019/1/30,92
2019/1/31,67
2019/2/1,55
2019/2/2,38
2019/2/3,20
2019/2/4,24
2019/2/5,24
2019/2/6,16
2019/2/7,14
2019/2/8,39
2019/2/9,45
2019/2/10,35
2019/2/11,22
2019/2/12,25
2019/2/13,33
2019/2/14,33
2019/2/15,23
2019/2/16,29
2019/2/17,20
2019/2/18,19
2019/2/19,13
2019/2/20,24
2019/2/21,33
2019/2/22,27
2019/2/23,31
2019/2/24,34
2019/2/25,44
2019/2/26,54
2019/2/27,63
2019/2/28,52
2019/3/1,46
2019/3/2,48
2019/3/3,27
2019/3/4,21
2019/3/5,20
2019/3/6,46
2019/3/7,28
2019/3/8,20
2019/3/9,20
2019/3/10,29
2019/3/11,38
2019/3/12,37
2019/3/13,40
2019/3/14,42
2019/3/15,36
2019/3/16,28
2019/3/17,35
2019/3/18,38
2019/3/19,54
2019/3/20,67
2019/3/21,34
2019/3/22,32
2019/3/23,38
2019/3/24,42
2019/3/25,49
2019/3/26,55
2019/3/27,52
2019/3/28,43
2019/3/29,28
2019/3/30,44
2019/3/31,42
2019/4/1,40
2019/4/2,42
2019/4/3,44
2019/4/4,22
2019/4/5,24
2019/4/6,16
2019/4/7,32
2019/4/8,50
2019/4/9,52
2019/4/10,42
2019/4/11,17
2019/4/12,44
2019/4/13,44
2019/4/14,50
2019/4/15,51
2019/4/16,50
2019/4/17,46
2019/4/18,49
2019/4/19,57
2019/4/20,68
2019/4/21,45
2019/4/22,34
2019/4/23,56
2019/4/24,70
2019/4/25,69
2019/4/26,74
2019/4/27,71
2019/4/28,66
2019/4/29,58
2019/4/30,36
2019/5/1,29
2019/5/2,43
2019/5/3,59
2019/5/4,63
2019/5/5,69
2019/5/6,53
2019/5/7,27
2019/5/8,27
2019/5/9,29
2019/5/10,35
2019/5/11,31
2019/5/12,39
2019/5/13,46
2019/5/14,50
2019/5/15,68
2019/5/16,56
2019/5/17,34
2019/5/18,41
2019/5/19,45
2019/5/20,28
2019/5/21,28
2019/5/22,38
2019/5/23,33
2019/5/24,48
2019/5/25,44
2019/5/26,43
2019/5/27,33
2019/5/28,33
2019/5/29,46
2019/5/30,53
2019/5/31,70
2019/6/1,70
2019/6/2,47
2019/6/3,40
2019/6/4,47
2019/6/5,65
2019/6/6,71
2019/6/7,61
2019/6/8,50
2019/6/9,56
2019/6/10,63
2019/6/11,57
2019/6/12,59
2019/6/13,67
2019/6/14,68
2019/6/15,56
2019/6/16,58
