date,pm25
2019/6/17,61
2019/6/18,44
2019/6/19,51
2019/6/20,51
2019/6/21,48
2019/6/22,26
2019/6/23,34
2019/6/24,47
2019/6/25,54
2019/6/26,51
2019/6/27,43
2019/6/28,51
2019/6/29,55
2019/6/30,55
2019/7/1,55
2019/7/2,58
2019/7/3,61
2019/7/4,61
2019/7/5,73
2019/7/6,97
2019/7/7,64
2019/7/8,55
2019/7/9,53
2019/7/10,60
2019/7/11,59
2019/7/12,65
2019/7/13,67
2019/7/14,68
2019/7/15,67
2019/7/16,71
2019/7/17,72
2019/7/18,60
2019/7/19,53
2019/7/20,43
2019/7/21,51
2019/7/22,43
2019/7/23,57
2019/7/24,54
2019/7/25,55
2019/7/26,60
2019/7/27,64
2019/7/28,59
2019/7/29,60
2019/7/30,67
2019/7/31,66
2019/8/1,65
2019/8/2,55
2019/8/3,58
2019/8/4,60
2019/8/5,55
2019/8/6,54
2019/8/7,59
2019/8/8,65
2019/8/9,65
2019/8/10,64
2019/8/11,51
2019/8/12,42
2019/8/13,55
2019/8/14,68
2019/8/15,59
2019/8/16,62
2019/8/17,62
2019/8/18,46
2019/8/19,45
2019/8/20,54
2019/8/21,52
2019/8/22,55
2019/8/23,60
2019/8/24,56
2019/8/25,55
2019/8/26,48
2019/8/27,51
2019/8/28,51
2019/8/29,53
2019/8/30,52
2019/8/31,57
2019/9/1,63
2019/9/2,62
2019/9/3,54
2019/9/4,52
2019/9/5,46
2019/9/6,55
2019/9/7,53
2019/9/8,51
2019/9/9,46
2019/9/10,55
2019/9/11,48
2019/9/12,61
2019/9/13,66
2019/9/14,61
2019/9/15,60
2019/9/16,74
2019/9/17,61
2019/9/18,64
2019/9/19,52
2019/9/20,46
2019/9/21,64
2019/9/22,74
2019/9/23,52
2019/9/24,46
2019/9/25,53
2019/9/26,59
2019/9/27,54
2019/9/28,41
2019/9/29,26
2019/9/30,32
2019/10/1,54
2019/10/2,44
2019/10/3,51
2019/10/4,52
2019/10/5,56
2019/10/6,58
2019/10/7,61
2019/10/8,58
2019/10/9,60
2019/10/10,58
2019/10/11,55
2019/10/12,48
2019/10/13,71
2019/10/14,70
2019/10/15,58
2019/10/16,67
2019/10/17,55
2019/10/18,63
2019/10/19,50
2019/10/20,52
2019/10/21,51
2019/10/22,34
2019/10/23,44
2019/10/24,56
2019/10/25,57
2019/10/26,43
2019/10/27,41
2019/10/28,50
2019/10/29,58
2019/10/30,56
2019/10/31,41
2019/11/1,43
2019/11/2,37
2019/11/3,71
2019/11/4,65
2019/11/5,67
2019/11/6,64
2019/11/7,73
2019/11/8,96
2019/11/9,67
2019/11/10,43
2019/11/11,68
2019/11/12,79
2019/11/13,75
2019/11/14,79
2019/11/15,70
2019/11/16,65
2019/11/17,68
2019/11/18,40
2019/11/19,32
2019/11/20,52
2019/11/21,31
2019/11/22,35
2019/11/23,45
2019/11/24,42
2019/11/25,38
2019/11/26,51
2019/11/27,46
2019/11/28,27
2019/11/29,18
2019/11/30,28
2019/12/1,31
2019/12/2,26
2019/12/3,42
2019/12/4,54
2019/12/5,39
2019/12/6,38
2019/12/7,44
2019/12/8,29
2019/12/9,33
2019/12/10,43
2019/12/11,50
2019/12/12,52
2019/12/13,78
2019/12/14,85
2019/12/15,79
2019/12/16,25
2019/12/17,31
2019/12/18,32
2019/12/19,32
2019/12/20,55
2019/12/21,35
2019/12/22,38
2019/12/23,44
2019/12/24,26
2019/12/25,40
2019/12/26,34
2019/12/27,24
2019/12/28,36
2019/12/29,46
2019/12/30,56
