date,pm25
1/1/2017,28
1/2/2017,54
1/3/2017,34
1/4/2017,46
1/5/2017,53
1/6/2017,27
1/7/2017,39
1/8/2017,37
1/9/2017,34
1/10/2017,35
1/11/2017,35
1/12/2017,33
1/13/2017,27
1/14/2017,49
1/15/2017,65
1/16/2017,49
1/17/2017,52
1/18/2017,52
1/19/2017,57
1/20/2017,34
1/21/2017,28
1/22/2017,24
1/23/2017,28
1/24/2017,16
1/25/2017,35
1/26/2017,47
1/27/2017,51
1/28/2017,40
1/29/2017,60
1/30/2017,66
1/31/2017,67
2/1/2017,66
2/2/2017,68
2/3/2017,67
2/4/2017,57
2/5/2017,43
2/6/2017,57
2/7/2017,23
2/8/2017,24
2/9/2017,33
2/10/2017,49
2/11/2017,52
2/12/2017,27
2/13/2017,41
2/14/2017,35
2/15/2017,55
2/16/2017,48
2/17/2017,59
2/18/2017,22
2/19/2017,21
2/20/2017,28
2/21/2017,29
2/22/2017,46
2/23/2017,28
2/24/2017,17
2/25/2017,35
2/26/2017,50
2/27/2017,27
2/28/2017,31
3/1/2017,32
3/2/2017,39
3/3/2017,36
3/4/2017,29
3/5/2017,48
3/6/2017,29
3/7/2017,27
3/8/2017,37
3/9/2017,44
3/10/2017,58
3/11/2017,68
3/12/2017,69
3/13/2017,91
3/14/2017,118
3/15/2017,74
3/16/2017,66
3/17/2017,72
3/18/2017,91
3/19/2017,103
3/20/2017,81
3/21/2017,38
3/22/2017,30
3/23/2017,26
3/24/2017,23
3/25/2017,42
3/26/2017,37
3/27/2017,45
3/28/2017,36
3/29/2017,37
3/30/2017,46
3/31/2017,51
4/1/2017,38
4/2/2017,32
4/3/2017,30
4/4/2017,42
4/5/2017,62
4/6/2017,64
4/7/2017,70
4/8/2017,46
4/9/2017,25
4/10/2017,35
4/11/2017,43
4/12/2017,51
4/13/2017,46
4/14/2017,19
4/15/2017,35
4/16/2017,46
4/17/2017,46
4/18/2017,33
4/19/2017,30
4/20/2017,28
4/21/2017,48
4/22/2017,57
4/23/2017,55
4/24/2017,40
4/25/2017,50
4/26/2017,29
4/27/2017,44
4/28/2017,40
4/29/2017,30
4/30/2017,32
5/1/2017,53
5/2/2017,59
5/3/2017,62
5/4/2017,62
5/5/2017,64
5/6/2017,75
5/7/2017,40
5/8/2017,26
5/9/2017,53
5/10/2017,57
5/11/2017,45
5/12/2017,45
5/13/2017,67
5/14/2017,47
5/15/2017,52
5/16/2017,40
5/17/2017,50
5/18/2017,45
5/19/2017,51
5/20/2017,51
5/21/2017,49
5/22/2017,58
5/23/2017,68
5/24/2017,59
5/25/2017,67
5/26/2017,36
5/27/2017,28
5/28/2017,35
5/29/2017,47
5/30/2017,61
5/31/2017,72
6/1/2017,68
6/2/2017,64
6/3/2017,74
6/4/2017,86
6/5/2017,95
6/6/2017,77
6/7/2017,81
6/8/2017,65
6/9/2017,49
6/10/2017,44
6/11/2017,34
6/12/2017,37
6/13/2017,40
6/14/2017,53
6/15/2017,62
6/16/2017,75
6/17/2017,70
6/18/2017,63
6/19/2017,60
6/20/2017,67
6/21/2017,61
6/22/2017,58
6/23/2017,59
6/24/2017,69
6/25/2017,56
6/26/2017,61
6/27/2017,63
6/28/2017,54
6/29/2017,57
6/30/2017,104
7/1/2017,71
7/2/2017,78
7/3/2017,65
7/4/2017,70
7/5/2017,78
7/6/2017,101
7/7/2017,64
7/8/2017,78
7/9/2017,83
7/10/2017,69
7/11/2017,65
7/12/2017,51
7/13/2017,54
7/14/2017,57
7/15/2017,53
7/16/2017,66
7/17/2017,69
7/18/2017,65
7/19/2017,65
7/20/2017,67
7/21/2017,64
7/22/2017,68
7/23/2017,76
7/24/2017,64
7/25/2017,54
7/26/2017,43
7/27/2017,41
7/28/2017,42
7/29/2017,61
7/30/2017,62
