date,pm25
7/31/2017,55
8/1/2017,66
8/2/2017,66
8/3/2017,71
8/4/2017,61
8/5/2017,47
8/6/2017,49
8/7/2017,51
8/8/2017,55
8/9/2017,70
8/10/2017,68
8/11/2017,69
8/12/2017,63
8/13/2017,76
8/14/2017,77
8/15/2017,62
8/16/2017,45
8/17/2017,57
8/18/2017,63
8/19/2017,60
8/20/2017,61
8/21/2017,60
8/22/2017,54
8/23/2017,57
8/24/2017,68
8/25/2017,81
8/26/2017,93
8/27/2017,88
8/28/2017,66
8/29/2017,75
8/30/2017,89
8/31/2017,80
9/1/2017,75
9/2/2017,71
9/3/2017,74
9/4/2017,59
9/5/2017,47
9/6/2017,62
9/9/2017,59
9/10/2017,56
9/11/2017,62
9/12/2017,63
9/13/2017,55
9/14/2017,52
9/15/2017,51
9/16/2017,47
9/17/2017,55
9/18/2017,56
9/19/2017,59
9/20/2017,61
9/21/2017,64
9/22/2017,48
9/23/2017,51
9/24/2017,50
9/25/2017,48
9/26/2017,35
9/27/2017,62
9/28/2017,76
9/29/2017,71
9/30/2017,66
10/1/2017,94
10/2/2017,65
10/3/2017,60
10/4/2017,61
10/5/2017,60
10/6/2017,65
10/7/2017,68
10/8/2017,55
10/9/2017,71
10/10/2017,67
10/11/2017,50
10/12/2017,70
10/13/2017,79
10/14/2017,90
10/15/2017,91
10/16/2017,58
10/17/2017,45
10/18/2017,56
10/19/2017,78
10/20/2017,89
10/21/2017,52
10/22/2017,54
10/23/2017,37
10/24/2017,36
10/25/2017,38
10/26/2017,39
10/27/2017,54
10/28/2017,71
10/29/2017,96
10/30/2017,112
10/31/2017,53
11/1/2017,45
11/2/2017,44
11/3/2017,33
11/4/2017,41
11/5/2017,44
11/6/2017,36
11/7/2017,45
11/8/2017,45
11/9/2017,41
11/10/2017,38
11/11/2017,47
11/12/2017,64
11/13/2017,90
11/14/2017,82
11/15/2017,76
11/16/2017,84
11/17/2017,74
11/18/2017,40
11/19/2017,49
11/20/2017,35
11/21/2017,61
11/22/2017,56
11/23/2017,36
11/24/2017,37
11/25/2017,64
11/26/2017,79
11/27/2017,117
11/28/2017,71
11/29/2017,47
11/30/2017,55
12/1/2017,60
12/2/2017,65
12/3/2017,63
12/4/2017,74
12/5/2017,55
12/6/2017,39
12/7/2017,80
12/8/2017,51
12/9/2017,47
12/10/2017,48
12/11/2017,46
12/12/2017,44
12/13/2017,45
12/14/2017,83
12/15/2017,78
12/16/2017,54
12/17/2017,73
12/18/2017,47
12/19/2017,36
12/20/2017,66
12/21/2017,60
12/22/2017,38
12/23/2017,52
12/24/2017,57
12/25/2017,72
12/26/2017,132
12/27/2017,152
12/28/2017,121
12/29/2017,76
12/30/2017,52
12/31/2017,94
