date,pm25,pm10
10/21/2020,86,45
10/22/2020,97,28
10/23/2020,56,27
10/24/2020,48,19
10/25/2020,38,16
10/26/2020,30,137
10/27/2020,76,65
10/28/2020,99,53
10/29/2020,70,51
10/30/2020,71,48
10/31/2020,68,46
11/1/2020,77,41
11/2/2020,75,43
11/3/2020,76,48
11/4/2020,100,49
11/5/2020,87,43
11/6/2020,54,38
11/7/2020,54,19
11/8/2020,26,26
11/9/2020,28,7
11/10/2020,21,0
11/11/2020,73,0
11/12/2020,78,0
11/13/2020,75,0
11/14/2020,59,0
11/15/2020,36,0
11/16/2020,54,0
11/17/2020,53,0
11/18/2020,43,0
11/19/2020,62,0
11/20/2020,66,0
11/21/2020,77,0
11/22/2020,94,0
11/23/2020,85,0
11/24/2020,80,0
